exp_type,pattern,K,trial,seed,success,time_sec,waypoints,path_len_total,path_len_max_per_drone
complexity,empty,3,0,1234,1,1.428829,4,190.757065,65.274723
complexity,empty,3,1,1235,1,1.717846,3,190.253751,65.058104
complexity,empty,3,2,1236,1,1.695253,3,190.430112,65.098897
complexity,empty,3,3,1237,1,1.732303,3,190.253010,65.063299
complexity,empty,3,4,1238,1,1.772636,4,190.186375,65.053825
complexity,empty,3,5,1239,1,1.599809,4,190.186375,65.053825
complexity,empty,3,6,1240,0,1.443007,4,190.670223,65.173095
complexity,empty,3,7,1241,0,1.557962,4,190.247475,65.060717
complexity,empty,3,8,1242,1,1.587731,4,190.186375,65.053825
complexity,empty,3,9,1243,1,1.846363,3,190.252410,65.074519
complexity,empty,3,10,1244,1,1.525975,4,191.089914,65.231730
complexity,empty,3,11,1245,1,1.734459,3,190.248370,65.063589
complexity,empty,3,12,1246,1,1.612767,4,190.930836,65.369886
complexity,empty,3,13,1247,1,1.743695,3,190.205645,65.055185
complexity,empty,3,14,1248,1,1.744901,3,190.233597,65.069637
complexity,empty,3,15,1249,1,1.676626,4,198.234072,67.967923
complexity,empty,3,16,1250,1,1.667323,4,190.908966,65.283316
complexity,empty,3,17,1251,1,1.491156,4,190.816452,65.119724
complexity,empty,3,18,1252,1,1.078289,5,195.705405,66.514647
complexity,empty,3,19,1253,1,1.618634,4,190.782433,65.409206
complexity,empty,3,20,1254,1,1.748532,3,190.217684,65.065067
complexity,empty,3,21,1255,1,1.760303,3,190.230541,65.062985
complexity,empty,3,22,1256,1,1.144523,5,194.040000,65.358088
complexity,empty,3,23,1257,1,1.553688,4,191.066748,65.274370
complexity,empty,3,24,1258,1,1.651203,4,195.777313,66.303310
complexity,empty,3,25,1259,0,1.794080,3,190.245251,65.078941
complexity,empty,3,26,1260,1,1.559426,4,190.186375,65.053825
complexity,empty,3,27,1261,1,1.566243,4,190.186375,65.053825
complexity,empty,3,28,1262,1,1.053396,4,196.298303,65.838034
complexity,empty,3,29,1263,1,1.729876,3,190.213971,65.068604
complexity,sparse,3,0,1234,1,1.438256,5,203.018109,68.177223
complexity,sparse,3,1,1235,1,1.403649,6,193.537427,65.974858
complexity,sparse,3,2,1236,1,1.012891,6,196.312713,66.341622
complexity,sparse,3,3,1237,1,1.511625,4,191.086097,65.338322
complexity,sparse,3,4,1238,1,1.169285,4,194.241693,66.602236
complexity,sparse,3,5,1239,1,0.963838,4,199.002579,66.794690
complexity,sparse,3,6,1240,0,1.011299,4,195.386926,65.991700
complexity,sparse,3,7,1241,0,1.960504,4,194.243325,66.240112
complexity,sparse,3,8,1242,0,1.807250,4,193.432415,66.164525
complexity,sparse,3,9,1243,0,1.773885,3,191.797165,65.593353
complexity,sparse,3,10,1244,0,0.944967,4,195.602665,66.536053
complexity,sparse,3,11,1245,0,1.148199,4,194.167745,65.891962
complexity,sparse,3,12,1246,0,1.839193,3,192.723145,66.252478
complexity,sparse,3,13,1247,0,1.354654,4,191.580674,65.381729
complexity,sparse,3,14,1248,1,1.695096,3,194.017834,65.763485
complexity,sparse,3,15,1249,0,0.776089,5,193.553633,65.553419
complexity,sparse,3,16,1250,0,1.723850,3,193.435524,66.306152
complexity,sparse,3,17,1251,0,1.465820,5,194.778971,66.343415
complexity,sparse,3,18,1252,0,1.729991,3,191.632719,65.512569
complexity,sparse,3,19,1253,0,0.796483,5,207.827166,70.418297
complexity,sparse,3,20,1254,0,1.681393,3,192.068455,65.628172
complexity,sparse,3,21,1255,1,0.935893,4,198.099199,67.057662
complexity,sparse,3,22,1256,0,1.844132,6,193.120569,65.778949
complexity,sparse,3,23,1257,1,1.145653,4,191.347207,65.316633
complexity,sparse,3,24,1258,0,1.225014,4,193.122354,65.650928
complexity,sparse,3,25,1259,0,1.508154,7,193.867620,66.334809
complexity,sparse,3,26,1260,0,1.656981,3,195.013756,67.173937
complexity,sparse,3,27,1261,1,2.067209,4,192.435262,65.801819
complexity,sparse,3,28,1262,1,1.148368,4,192.519220,65.590345
complexity,sparse,3,29,1263,0,1.075754,5,203.444577,68.857731
complexity,medium,3,0,1234,1,1.807947,3,198.187363,67.559727
complexity,medium,3,1,1235,1,1.494241,4,198.620111,67.841868
complexity,medium,3,2,1236,1,1.736248,5,194.285920,66.324536
complexity,medium,3,3,1237,1,1.149336,5,192.559789,65.795586
complexity,medium,3,4,1238,1,1.555793,3,191.959799,65.587204
complexity,medium,3,5,1239,1,0.859488,6,191.954629,65.852385
complexity,medium,3,6,1240,0,0.988048,5,191.404970,65.484516
complexity,medium,3,7,1241,1,1.715985,4,191.760834,65.467142
complexity,medium,3,8,1242,1,1.512993,4,191.595461,65.573091
complexity,medium,3,9,1243,1,1.592903,3,195.811497,67.169289
complexity,medium,3,10,1244,0,1.634007,3,193.406996,65.914963
complexity,medium,3,11,1245,1,1.664989,3,194.228054,66.315712
complexity,medium,3,12,1246,1,1.067137,6,193.605666,66.739635
complexity,medium,3,13,1247,1,1.396715,4,191.341082,65.333214
complexity,medium,3,14,1248,1,2.009159,4,193.997390,66.221592
complexity,medium,3,15,1249,1,1.785255,3,193.243374,66.295616
complexity,medium,3,16,1250,1,1.623152,5,191.696915,65.753705
complexity,medium,3,17,1251,1,1.432155,5,192.720951,65.463364
complexity,medium,3,18,1252,0,1.118844,5,193.020355,65.626468
complexity,medium,3,19,1253,1,1.784508,4,194.744700,66.350710
complexity,medium,3,20,1254,1,1.509312,4,193.889150,65.974612
complexity,medium,3,21,1255,1,1.880085,3,225.831184,77.410042
complexity,medium,3,22,1256,1,1.168529,5,192.525103,65.708426
complexity,medium,3,23,1257,1,1.268503,4,191.203612,65.368204
complexity,medium,3,24,1258,1,1.162485,5,193.427043,66.063168
complexity,medium,3,25,1259,0,1.395621,5,191.097565,65.414954
complexity,medium,3,26,1260,0,1.618682,4,192.027466,65.818972
complexity,medium,3,27,1261,0,1.769885,3,191.879295,65.667309
complexity,medium,3,28,1262,0,1.748434,5,196.190289,66.892826
complexity,medium,3,29,1263,0,1.299333,5,191.827605,65.677881
complexity,narrow,3,0,1234,0,1.162993,4,194.897483,66.543827
complexity,narrow,3,1,1235,1,1.350556,6,207.891639,70.874395
complexity,narrow,3,2,1236,1,1.017723,5,193.630163,66.255438
complexity,narrow,3,3,1237,1,1.319578,4,194.180665,66.438030
complexity,narrow,3,4,1238,1,1.335445,4,194.745857,66.384515
complexity,narrow,3,5,1239,0,1.155550,6,194.432271,66.306257
complexity,narrow,3,6,1240,0,0.741867,4,194.049981,66.234268
complexity,narrow,3,7,1241,1,1.807990,3,212.476641,72.557816
complexity,narrow,3,8,1242,1,1.712125,4,195.430596,66.681774
complexity,narrow,3,9,1243,1,1.332518,4,194.156579,66.648409
complexity,narrow,3,10,1244,1,0.963740,8,196.420811,67.119968
complexity,narrow,3,11,1245,1,1.202706,5,195.364011,67.128972
complexity,narrow,3,12,1246,1,1.075093,4,204.314147,69.962964
complexity,narrow,3,13,1247,0,0.797592,6,194.343582,66.221788
complexity,narrow,3,14,1248,1,1.555071,4,198.642894,67.197042
complexity,narrow,3,15,1249,1,2.030861,3,224.697430,77.576725
complexity,narrow,3,16,1250,0,0.837682,6,193.720916,66.093848
complexity,narrow,3,17,1251,1,1.019657,5,201.369250,68.454686
complexity,narrow,3,18,1252,0,0.819637,5,194.515456,66.026373
complexity,narrow,3,19,1253,1,1.035971,6,198.273156,68.375840
complexity,narrow,3,20,1254,1,1.103520,5,194.058870,66.386784
complexity,narrow,3,21,1255,1,1.444765,5,195.067259,66.698898
complexity,narrow,3,22,1256,1,1.265780,5,194.656392,66.165359
complexity,narrow,3,23,1257,0,0.535234,6,205.732055,69.195884
complexity,narrow,3,24,1258,0,0.809777,8,195.298757,67.065522
complexity,narrow,3,25,1259,0,1.454643,4,196.507108,67.404403
complexity,narrow,3,26,1260,1,1.234018,4,195.787001,66.886815
complexity,narrow,3,27,1261,0,1.082369,4,194.694862,66.642348
complexity,narrow,3,28,1262,1,2.062583,4,203.238780,69.640869
complexity,narrow,3,29,1263,0,1.039285,6,213.550818,72.982788
complexity,cluttered,3,0,1234,1,1.374145,4,190.757065,65.274723
complexity,cluttered,3,1,1235,1,1.875737,3,190.253751,65.058104
complexity,cluttered,3,2,1236,1,2.115544,3,190.430112,65.098897
complexity,cluttered,3,3,1237,1,1.775347,3,190.253010,65.063299
complexity,cluttered,3,4,1238,1,1.619310,4,190.186375,65.053825
complexity,cluttered,3,5,1239,1,1.629420,4,190.186375,65.053825
complexity,cluttered,3,6,1240,0,1.488627,4,190.670223,65.173095
complexity,cluttered,3,7,1241,0,1.624718,4,190.247475,65.060717
complexity,cluttered,3,8,1242,1,1.623524,4,190.186375,65.053825
complexity,cluttered,3,9,1243,1,1.759647,3,190.252410,65.074519
complexity,cluttered,3,10,1244,1,1.530175,4,191.089914,65.231730
complexity,cluttered,3,11,1245,1,1.767129,3,190.248370,65.063589
complexity,cluttered,3,12,1246,1,1.684592,4,190.930836,65.369886
complexity,cluttered,3,13,1247,1,1.784234,3,190.205645,65.055185
complexity,cluttered,3,14,1248,1,1.777086,3,190.233597,65.069637
complexity,cluttered,3,15,1249,1,1.602926,4,198.234072,67.967923
complexity,cluttered,3,16,1250,1,1.646468,4,190.908966,65.283316
complexity,cluttered,3,17,1251,1,1.507320,4,190.816452,65.119724
complexity,cluttered,3,18,1252,1,1.128794,5,195.705405,66.514647
complexity,cluttered,3,19,1253,1,1.669832,4,190.782433,65.409206
complexity,cluttered,3,20,1254,1,1.984651,3,190.217684,65.065067
complexity,cluttered,3,21,1255,1,1.808976,3,190.230541,65.062985
complexity,cluttered,3,22,1256,1,1.227707,5,194.040000,65.358088
complexity,cluttered,3,23,1257,1,2.347672,4,191.066748,65.274370
complexity,cluttered,3,24,1258,0,2.671844,5,191.019349,65.283382
complexity,cluttered,3,25,1259,0,2.893195,3,190.245251,65.078941
complexity,cluttered,3,26,1260,1,2.685372,4,190.186375,65.053825
complexity,cluttered,3,27,1261,1,2.732033,4,190.186375,65.053825
complexity,cluttered,3,28,1262,1,1.728474,4,196.298303,65.838034
complexity,cluttered,3,29,1263,1,2.835128,3,190.213971,65.068604
